#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.122 eV
9.6500E+00	1.1009E+00	1.0820E+00	2.1829E+00	
9.6700E+00	1.1256E+00	1.0632E+00	2.1888E+00	
9.6900E+00	1.1375E+00	1.0954E+00	2.2329E+00	
9.7100E+00	1.1389E+00	1.1353E+00	2.2742E+00	
9.7300E+00	1.1407E+00	1.1149E+00	2.2556E+00	
9.7500E+00	1.1764E+00	1.1964E+00	2.3728E+00	
9.7700E+00	1.2498E+00	1.1149E+00	2.3647E+00	
9.7900E+00	1.2942E+00	1.0098E+00	2.3040E+00	
9.8100E+00	1.2587E+00	9.4339E-01	2.2021E+00	
9.8300E+00	1.2476E+00	9.4516E-01	2.1928E+00	
9.8500E+00	1.2633E+00	8.1146E-01	2.0748E+00	
9.8700E+00	1.2815E+00	8.0969E-01	2.0912E+00	
9.8900E+00	1.3694E+00	8.6072E-01	2.2301E+00	
9.9100E+00	1.5147E+00	9.0681E-01	2.4215E+00	
9.9300E+00	1.6201E+00	9.1378E-01	2.5339E+00	
9.9500E+00	1.7273E+00	9.2042E-01	2.6477E+00	
9.9700E+00	1.8455E+00	9.3905E-01	2.7846E+00	
9.9900E+00	1.9987E+00	9.5827E-01	2.9570E+00	
1.0000E+01	2.1850E+00	9.7359E-01	3.1586E+00	
1.0000E+01	2.2832E+00	9.9196E-01	3.2752E+00	
1.0000E+01	2.2518E+00	1.0089E+00	3.2607E+00	
1.0100E+01	2.1742E+00	1.0345E+00	3.2087E+00	
1.0100E+01	2.1722E+00	1.0879E+00	3.2601E+00	
1.0100E+01	2.2093E+00	1.1752E+00	3.3845E+00	
1.0100E+01	2.2521E+00	1.2614E+00	3.5135E+00	
1.0100E+01	2.3052E+00	1.3239E+00	3.6291E+00	
1.0200E+01	2.3895E+00	1.3953E+00	3.7848E+00	
1.0200E+01	2.5243E+00	1.5028E+00	4.0271E+00	
1.0200E+01	2.6591E+00	1.6450E+00	4.3041E+00	
1.0200E+01	2.5825E+00	1.8368E+00	4.4193E+00	
1.0200E+01	2.7919E+00	1.9192E+00	4.7111E+00	
1.0300E+01	3.0005E+00	1.9101E+00	4.9106E+00	
